INFO 2024-11-25 13:07:21,709 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-25 13:07:21,709 autoreload Waiting for apps ready_event.
DEBUG 2024-11-25 13:07:21,838 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-25 13:07:21,848 autoreload Watching dir /Users/energostroyceo/PycharmProjects/pythonMyDiplom/myproject/appointments/templates with glob **/*.
DEBUG 2024-11-25 13:07:21,849 autoreload Watching dir /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-11-25 13:07:21,849 autoreload Watching dir /Users/energostroyceo/PycharmProjects/pythonMyDiplom/myproject/locale with glob **/*.mo.
DEBUG 2024-11-25 13:07:21,849 autoreload Watching dir /Users/energostroyceo/PycharmProjects/pythonMyDiplom/myproject/appointments/locale with glob **/*.mo.
DEBUG 2024-11-25 13:07:21,849 autoreload Watching dir /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-11-25 13:07:21,869 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-11-25 13:07:21,871 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-11-25 13:07:21,921 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,921 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/asgiref/sync.py first seen with mtime 1732094319.1199872
DEBUG 2024-11-25 13:07:21,921 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/urls/__init__.py first seen with mtime 1732094319.8380032
DEBUG 2024-11-25 13:07:21,921 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/__init__.py first seen with mtime 1712665885.0
DEBUG 2024-11-25 13:07:21,921 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/contrib/admin/checks.py first seen with mtime 1732094319.2438629
DEBUG 2024-11-25 13:07:21,921 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/parse.py first seen with mtime 1712665886.0
DEBUG 2024-11-25 13:07:21,921 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/rest_framework/templatetags/__init__.py first seen with mtime 1732094374.8967612
DEBUG 2024-11-25 13:07:21,921 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/threads.py first seen with mtime 1712665885.0
DEBUG 2024-11-25 13:07:21,921 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/sqlparse/sql.py first seen with mtime 1732094319.088563
DEBUG 2024-11-25 13:07:21,921 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/mime/__init__.py first seen with mtime 1712665885.0
DEBUG 2024-11-25 13:07:21,921 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/termios.cpython-312-darwin.so first seen with mtime 1712666338.0
DEBUG 2024-11-25 13:07:21,921 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/template/base.py first seen with mtime 1732094319.8310773
DEBUG 2024-11-25 13:07:21,921 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/urllib3/util/response.py first seen with mtime 1732179223.815181
DEBUG 2024-11-25 13:07:21,921 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/contrib/sessions/base_session.py first seen with mtime 1732094319.6966028
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/contrib/staticfiles/utils.py first seen with mtime 1732094319.774746
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/contrib/admin/filters.py first seen with mtime 1732094319.2443776
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/idna/idnadata.py first seen with mtime 1732179223.9091244
DEBUG 2024-11-25 13:07:21,922 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pickle.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,922 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_constants.py first seen with mtime 1712665886.0
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/rest_framework/serializers.py first seen with mtime 1732094374.8535762
DEBUG 2024-11-25 13:07:21,922 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/multiprocessing/context.py first seen with mtime 1712665886.0
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/sqlparse/engine/grouping.py first seen with mtime 1732094319.089297
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/core/checks/urls.py first seen with mtime 1732094319.7805052
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/sqlparse/lexer.py first seen with mtime 1732094319.0883543
DEBUG 2024-11-25 13:07:21,922 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_parser.py first seen with mtime 1712665886.0
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/charset_normalizer/cd.py first seen with mtime 1732179223.981571
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/core/checks/security/__init__.py first seen with mtime 1732094319.7808514
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/contrib/admindocs/views.py first seen with mtime 1732094319.362573
